CountryNameLab	CountryLabId	DivisionId	Division	DivisionIdNorm	DivisionNameNorm
México	11	1	3M MÉXICO, S.A. DE C.V.	1	3 M
Centroamerica	3	1273	ABBOTT	1273	ABBOTT
Chile	38	2550	ABBOTT LABORATORIES DE CHILE LTDA.	2550	ABBOTT
Colombia	4	196	ABBOTT LABORATORIES DE COLOMBIA, S.A.	196	ABBOTT
México	11	3	ABBOTT LABORATORIES DE MÉXICO, S.A. DE C.V.	3	ABBOTT
Ecuador	6	1047	ABBOTT LABORATORIOS DEL ECUADOR CIA.  LTDA.	1047	ABBOTT
Perú	14	360	ABBOTT LABORATORIOS S.A.	360	ABBOTT
México	11	2676	ABBVIE	2676	ABBVIE
Colombia	4	2652	ABBVIE	2652	ABBVIE
Colombia	4	1384	ABL PHARMA COLOMBIA S.A.	1384	ABL PHARMA 
México	11	2337	ACCORD FARMA, S.A. DE C.V.	2337	ACCORD
Ecuador	6	1119	ACINO	1119	ACINO
West Indies	36	1357	ACINO PHARMA AG	1357	ACINO
Centroamerica	3	1315	ACINO PHARMA AG	1315	ACINO
Ecuador	6	1048	ACROMAX	1048	ACROMAX
Centroamerica	3	1274	ACROMAX DOMINICANA, S.A.	1274	ACROMAX
México	11	2501	ACTELION	2501	ACTELION
Perú	14	364	ACUARIES PRODUCTS S.R.L.	364	ACUARIES 
México	11	1019	ADVAITA PHARMA, S.A. DE C.V.	1019	ADVAITA
Colombia	4	197	ADVANCE HEALTH	197	ADVANCE HEALTH
Perú	14	365	AJANTA PHARMA LIMITED	365	AJANTA PHARMA
Perú	14	366	AKORN INC.	366	AKORN 
Perú	14	1403	ALBIS	1403	ALBIS
Chile	38	2551	ALCON LABORATORIOS CHILE LTDA.	2551	ALCON
México	11	4	ALCON LABORATORIOS, S.A. DE C.V.	4	ALCON 
Perú	14	367	ALCON PHARMACEUTICAL DEL PERÚ S.A.	367	ALCON 
Colombia	4	275	LABORATORIOS ALCON DE COLOMBIA S.A.	275	ALCON 
Colombia	4	198	ALDOQUIN	198	ALDOQUIN
Ecuador	6	2644	ALEXXIAPHARMA S.A.	2644	ALEXXIAPHARMA
Centroamerica	3	1294	ALFA FARMACÉUTICA, S.A.	1294	ALFA FARMACÉUTICA
México	11	2329	LABORATORIOS ALFASIGMA MÉXICO, S.A. DE C.V.	2329	ALFA WASSERMANN
México	11	2518	ALLEN LABORATORIOS, S.A. DE C.V.	2518	ALLEN
Perú	14	369	ALLERGAN	369	ALLERGAN
Colombia	4	199	ALLERGAN DE COLOMBIA, S.A.	199	ALLERGAN
Chile	38	2552	ALLERGAN LABORATORIOS LTDA.	2552	ALLERGAN
México	11	5	ALLERGAN, S.A. DE C.V.	5	ALLERGAN
Perú	14	370	ALLERLAB S.A.C.	370	ALLERLAB 
México	11	6	ALMIRALL DE MÉXICO, S.A. DE C.V.	6	ALMIRALL-PRODESFARMA
México	11	7	ALPHARMA, S.A. DE C.V., LABORATORIOS	7	ALPHARMA
Perú	14	371	ALTANA PHARMA (QUÍMICA SUIZA S.A.)	371	ALTANA 
México	11	8	ALTANA PHARMA S.A. DE C.V.	8	ALTANA 
México	11	9	ALVARTIS PHARMA, S.A. DE C.V.	9	ALVARTIS 
Colombia	4	201	AMERICA	201	AMERICA
Colombia	4	2782	AMGEN BIOTECNOLOGICA SAS	2782	AMGEN
México	11	2506	AMGEN MÉXICO, S.A. DE C.V.	2506	AMGEN
México	11	10	ANTIBIÓTICOS DE MÉXICO, S.A. DE C.V.	10	AMSA
Centroamerica	3	1277	ESTABLECIMIENTO ANCALMO S.A. DE C.V. HESSEL	1277	ANCALMO
México	11	11	ANCHOR FARMA, S.A. DE C.V.	11	ANCHOR FARMA
Chile	38	2554	ANDROMACO S.A.	2554	ANDRÓMACO
México	11	74	ANDRÓMACO, INDUSTRIA FARMACÉUTICA S.A. DE C.V.	74	ANDRÓMACO
Colombia	4	2753	ANESPA FARMACEUTICA EU	2753	ANESPA FARMACEUTICA EU
Colombia	4	202	ANGLOPHARMA, S.A.	202	ANGLOPHARMA
México	11	2	A.F. LABORATORIOS APLICACIONES FARMACÉUTICAS, S.A. DE C.V.	2	APLICACIONES FARMACÉUTICAS
Colombia	4	203	APOTECARIUM LTDA.	203	APOTECARIUM 
México	11	2655	APOTEX	2655	APOTEX
Perú	14	2791	APRIPHARMA (DROPESAC)	2791	APRIPHARMA
México	11	2503	ARLEX DE MÉXICO, S.A. DE C.V.	2503	ARLEX
Colombia	4	204	ARMOFAR	204	ARMOFAR
México	11	12	ARMSTRONG LABORATORIOS DE MÉXICO, S.A. DE C.V.	12	ARMSTRONG
México	11	13	ASOFARMA DE MÉXICO, S.A. DE C.V.	13	ASOFARMA
Centroamerica	3	1278	ASOFARMA, S.A. 	1278	ASOFARMA
Ecuador	6	2786	ASPEN	2786	ASPEN
México	11	2672	ASPEN LABS	2672	ASPEN
México	11	14	ASPID, S.A. DE C.V.	14	ASPID
Perú	14	375	ASTRAL PHARMACEUTICALS S.A.C.	375	ASTRAL PHARMACEUTICALS
Chile	38	2555	ASTRAZENECA CHILE S.A.	2555	ASTRAZENECA
Colombia	4	205	ASTRAZENECA COLOMBIA S.A.	205	ASTRAZENECA
México	11	15	ASTRAZENECA, S.A. DE C.V.	15	ASTRAZENECA
México	11	16	ATLANTIS, S.A. DE C.V.	16	ATLANTIS
Colombia	4	2758	AVALON PHARMACEUTICAL	2758	AVALON PHARMACEUTICAL
México	11	2774	AVIVIA PHARMA	2774	AVIVIA PHARMA
Chile	38	2556	AXON - PHARMA FARMACEUTICA LTDA.	2556	AXON
Colombia	4	206	A-Z PHARMA, S.A.	206	A-Z PHARMA
Ecuador	6	1173	B. BRAUN  MEDICAL S. A.	1173	B. BRAUN
Chile	38	2557	B. BRAUN MEDICAL S.A.	2557	B. BRAUN
Perú	14	379	B. BRAUN PERUANA S.A.	379	B. BRAUN
México	11	2793	BBRAUN	2793	B. BRAUN
Colombia	4	213	BIFAN, BIOQUIMICA INFANTIL, S.A.	213	B. BRAUN
Colombia	4	207	BAGO	207	BAGÓ
Chile	38	2558	BAGÓ DE CHILE S.A.	2558	BAGÓ
Perú	14	380	BAGÓ DEL PERÚ	380	BAGÓ
Centroamerica	3	1280	BAGÓ S.A. LABORATORIOS	1280	BAGÓ
Ecuador	6	1102	LABORATORIOS BAGÓ DEL ECUADOR, S. A.	1102	BAGÓ
Ecuador	6	1052	BALIARDA S.A.	1052	BALIARDA 
Ecuador	6	1053	BASELPHARMA	1053	BASELPHARMA
Ecuador	6	1054	BASSA	1054	BASSA
México	11	20	BAUSCH & LOMB MÉXICO, S.A. DE C.V.	20	BAUSCH & LOMB
Colombia	4	208	BAWISS - COMPAÑIA BAWISS LTDA.	208	BAWISS
Colombia	4	209	BAXTER	209	BAXTER
Chile	38	2559	BAXTER CHILE	2559	BAXTER
Ecuador	6	1056	BAYER	1056	BAYER
West Indies	36	2328	BAYER	2328	BAYER
Colombia	4	210	BAYER	210	BAYER
México	11	22	BAYER DE MEXICO	22	BAYER
México	11	2331	BAYER DE MÉXICO, S.A. DE C.V.	22	BAYER
Centroamerica	3	1281	BAYER HEALTHCARE PHARMACEUTICALS	1281	BAYER
Chile	38	2560	BAYER S. A.	2560	BAYER
Perú	14	381	BAYER S.A.	381	BAYER
México	11	21	BAYER SCHERING PHARMA (DIVISIÓN CONSUMER CARE)	22	BAYER
Colombia	4	1201	BCN MEDICAL	1201	BCN MEDICAL
Colombia	4	211	BDF	211	BDF
México	11	2322	BDF	2322	BDF
Centroamerica	3	2805	BDF	2805	BDF
Ecuador	6	1057	BEIERSDORF	1057	BDF
Ecuador	6	1058	BEIERSDORF  S. A.	1057	BDF
Perú	14	383	BEIERSDORF S.A.C.	383	BDF
Colombia	4	212	BEST	212	BEST
México	11	23	BEST, S.A., LABORATORIOS	23	BEST
Centroamerica	3	2760	BIAL AMERICA LATINA S. A.	2760	BIAL
Colombia	4	214	BINZ	214	BINZ
Colombia	4	215	BIOCHEM FARMACÉUTICA DE COLOMBIA, LTDA	215	BIOCHEM 
México	11	79	INSTITUTO BIOCLON, S.A. DE C.V.	79	BIOCLON
México	11	2783	BIOCODEX	2783	BIOCODEX
Chile	38	2618	PHARMACROSS BIOCROSS S.A.	2618	BIOCROSS
México	11	24	BIOFARMA NATURAL CMD, S.A. DE C.V.	24	BIOFARMA
Ecuador	6	1060	BIOGENET	1060	BIOGENET
México	11	2796	BIOGENTEC	2796	BIOGENTEC
Ecuador	6	1061	BIOINDUSTRIA	1061	BIOINDUSTRIA
México	11	25	BIOMEP, S.A. DE C.V.	25	BIOMEP
Ecuador	6	1064	LABORATORIOS BIOPAS S.A.	1064	BIOPAS
Colombia	4	2413	LABORATORIOS BIOPAS S.A.	2413	BIOPAS
Chile	38	2562	BIOPHARM	2562	BIOPHARM
México	11	26	BIOPHARMEX, S.A. DE C.V	26	BIOPHARMEX
Colombia	4	218	BIOQUIFAR FARMACÉUTICA S.A.	218	BIOQUIFAR 
México	11	86	MÉDICO QUÍMICO BIOLÓGICO, S.A. DE C.V., LABORATORIO	86	BIOQUIMED
Perú	14	391	BIOS PERU	391	BIOS PERU
Chile	38	2563	BIOSANO S. A.	2563	BIOSANO
Colombia	4	224	BIOTEC S.A.	224	BIOTEC
Colombia	4	2759	BIOTECH PHARMA LTDA	2759	BIOTECH PHARMA
Ecuador	6	2347	BIOTOSCANA	2347	BIOTOSCANA
Colombia	4	219	BIOTOSCANA	219	BIOTOSCANA
Perú	14	392	BIOTOSCANA FARMA S.A.	392	BIOTOSCANA
Chile	38	2564	BIOTOSCANA FARMA S.A.	2564	BIOTOSCANA
México	11	27	BÍOX DE MÉXICO, S.A. DE C.V.	1015	BIOX
Colombia	4	220	BLASKOV	220	BLASKOV
Colombia	4	1389	BLAU FARMACÉUTICA COLOMBIA S.A.S	1389	BLAU
Ecuador	6	1162	BLENASTOR C.A.	1162	BLENASTOR
Perú	14	393	BOEHRINGER INGELHEIM	393	BOEHRINGER
Ecuador	6	1163	BOEHRINGER INGELHEIM DEL ECUADOR, CÍA. LTDA.	1163	BOEHRINGER
Chile	38	2565	BOEHRINGER INGELHEIM LTDA.	2565	BOEHRINGER
México	11	28	BOEHRINGER INGELHEIM MÉXICO, S.A. DE C.V.	2332	BOEHRINGER
México	11	29	BOEHRINGER INGELHEIM MÉXICO, S.A. DE C.V. PRODUCTOS DE AUTOMEDICACIÓN	2332	BOEHRINGER
México	11	2332	BOEHRINGER INGELHEIM PROMECO S.A. DE C.V.	2332	BOEHRINGER
Colombia	4	221	BOEHRINGER INGELHEIM S.A.	221	BOEHRINGER
Centroamerica	3	1282	BOEHRINGER INGELHEIM, S.A. DE C.V.	1282	BOEHRINGER
México	11	30	BOMUCA, S.A. DE C.V	30	BOMUCA
Centroamerica	3	2764	LABORATORIOS BONIN, S.A.	2764	BONIN
Colombia	4	1202	BREMYMG	1202	BREMYMG
Perú	14	361	ABEEFE BRISTOL-MYERS SQUIBB	361	BRISTOL-MYERS SQUIBB
Chile	38	2566	BRISTOL - MYERS SQUIBB DE CHILE	2566	BRISTOL-MYERS SQUIBB
Colombia	4	222	BRISTOL-MYERS SQUIBB DE COLOMBIA, S.A.	222	BRISTOL-MYERS SQUIBB
México	11	31	BRISTOL-MYERS SQUIBB DE MÉXICO, S. DE R.L. DE C.V.	31	BRISTOL-MYERS SQUIBB
México	11	32	BRULUAGSA, S.A. DE C.V.	32	BRULUAGSA
México	11	73	IMPORTADORA Y MANUFACTURERA BRULUART, S.A.	73	BRULUART
México	11	1361	BUFFINGTON´S DE MÉXICO, S.A. DE C.V.	1361	BUFFINGTON´S
Colombia	4	223	BUSSIE	223	BUSSIÉ 
Centroamerica	3	1303	LABORATORIOS BUSSIÉ S.A.	1303	BUSSIÉ 
Ecuador	6	1103	LABORATORIOS BUSSIÉ S.A.	1103	BUSSIÉ 
México	11	33	BUSTILLOS, S.A. DE C.V., LABORATORIOS	33	BUSTILLOS
México	11	34	BYOTEC S.A.	34	BYOTEC
Colombia	4	2784	CALIER FARMACÉUTICA DE COLOMBIA S.A.	2784	CALIER
Centroamerica	3	1385	LABORATORIOS CALOX, C.A	1385	CALOX
México	11	82	INVESTIGACIONES FILOSÓFICAS Y CIENTÍFICAS S.A. DE C.V. 	2833	CANTABRIA
Colombia	4	226	CARIBE	226	CARIBE
México	11	35	CARNOT LABORATORIOS, PRODUCTOS CIENTÍFICOS, S.A. DE C.V.	35	CARNOT
Perú	14	489	LABORATORIOS D.A. CARRION S.A.C.	489	CARRION
México	11	2651	CONSORCIO DERMATOLÓGICO DE MÉXICO S.A. DE C.V.	2651	CDM
México	11	2817	CELGENE MÉXICO	2817	CELGENE
México	11	1367	CELL PHARMA, S. DE R.L. DE C.V.	1367	CELLPHARMA
Colombia	4	227	CERO	227	CERO
Colombia	4	228	CHALVER	228	CHALVER
Ecuador	6	1067	CHALVER LABORATORIOS	1067	CHALVER
Ecuador	6	1069	CHEFAR	1069	CHEFAR
Centroamerica	3	1283	CHEMINTER, S.A. LABORATORIOS	1283	CHEMINTER
Chile	38	2568	CHEMOPHARMA S.A.	2568	CHEMOPHARMA
Chile	38	2569	CHILE S.A.	2569	CHILE
Centroamerica	3	1284	CHINOIN PRODUCTOS FARMACÉUTICOS S.A. DE C.V.	1284	CHINOIN
México	11	36	CHINOIN, PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.	36	CHINOIN
México	11	37	CHURCH & DWIGHT, S. DE R.L. DE C.V.	2521	CHURCH & DWIGHT  
México	11	2521	Church & Dwright, S. de R.L. de C.V.	2521	CHURCH & DWIGHT  
Ecuador	6	1070	CIFSA	1070	CIFSA
Colombia	4	229	CLARIS LIFESCIENCES COLOMBIA 	229	CLARIS LIFESCIENCES 
Colombia	4	230	CLOSTER PHARMA	230	CLOSTER PHARMA
México	11	2522	Comercial Distribuidora APA, S.A. de C.V.	2522	CODIAPASA
México	11	138	PRODUCTOS FARMACÉUTICOS COLLINS, S.A. DE C.V.	138	COLLINS
Colombia	4	2546	COLMED	2546	COLMED
México	11	38	COLUMBIA, S.A. DE C.V. LABORATORIOS	38	COLUMBIA
Centroamerica	3	1286	COMBISA LABORATORIOS	1286	COMBISA 
Colombia	4	231	COMERCIAL MEDICA, LTDA.	231	COMERCIAL MÉDICA
México	11	40	COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, PRODUCTOS FARMACEUTICOS, S.A. DE C.V.	40	COMERCIALIZADORA FARMACEUTICA DE CHIAPAS
Ecuador	6	1071	COMERCIOSA S. A.	1071	COMERCIOSA
México	11	41	COMPAÑIA INTERNACIONAL DE COMERCIO, S.A. DE .C.V.	41	COMPAÑIA INTERNACIONAL DE COMERCIO
México	11	42	CONCORDIA, S.A. DE C.V., LABORATORIOS	42	CONCORDIA
México	11	43	CONSUPHARMA, S.A. DE C.V.	43	CONSUPHARMA
Perú	14	555	CONTILAB	555	CONTILAB
México	11	44	CORNE, S.A. DE C.V., LABORATORIOS	2686	CORNE
Colombia	4	233	COSQUIM	233	COSQUIM
Perú	14	407	LABORATORIOS CRESPAL - PERÚ	1244	CRESPAL
México	11	45	CRYOPHARMA, S.A. DE C.V., LABORATORIOS	45	CRYOPHARMA 
Chile	38	2571	D&M PHARMA S.A.	2571	D&M PHARMA
Colombia	4	2524	DANONE BABY NUTRICION	2524	DANONE BABY NUTRICION
México	11	48	DERMATOLÓGICOS DARIER, S.A. DE C.V., LABORATORIOS	48	DARIER
Colombia	4	2414	DATA PHARMACEUTICAL SERVICES S.A.S.	2414	DATA PHARMACEUTICAL SERVICES
México	11	46	DEGORT’S CHEMICAL, S.A. DE C.V.	46	DEGORT´S
Perú	14	409	DELFARMA	409	DELFARMA
Colombia	4	276	LABORATORIOS DELTA	276	DELTA
México	11	1362	DERMACEUTICAL MÉXICO, S.A. DE C.V.	1362	DERMACEUTICAL
Colombia	4	2649	DERMOETIKA SAS	2649	DERMOETIKA
Perú	14	412	DEUTSCHE PHARMA S.A.C.	412	DEUTSCHE PHARMA 
México	11	49	DIBA, S.A., LABORATORIOS	49	DIBA
México	11	1366	LABORATORIOS DIBAR, S.A. DE C.V.	1366	DIBAR
Chile	38	2575	DISPOLAB FARMACEUTICA S.A.	2575	DISPOLAB
México	11	2324	DIVINE SKIN LABORATORIES, S.A. DE C.V.	2324	DIVINE SKIN
México	11	2800	DKT México	2800	DKT
Centroamerica	3	2778	CORPORACIÓN DONOVAN WERKE INTERNATIONAL	2778	DONOVAN WERKE
Perú	14	416	DRINTEFA	416	DRINTEFA
Perú	14	2666	DAEWON PHARM CO LTDA	2666	DROGUERÍA PERÚ SAC
Perú	14	422	DROGUERÍA PERÚ S.A.C.	2666	DROGUERÍA PERÚ SAC
Perú	14	2667	KOREA UNITED PHARM	2666	DROGUERÍA PERÚ SAC
Perú	14	2772	PBM NUTRITIONALS LLC (DROPESAC)	2666	DROGUERÍA PERÚ SAC
Perú	14	2668	UNION KOREA PHARM	2666	DROGUERÍA PERÚ SAC
Perú	14	1228	DROGUERIAS UNIDAS DEL PERU	1228	DROGUERIAS UNIDAS 
Colombia	4	235	DRUGTECH	235	DRUGTECH
Chile	38	2577	DRUGTECH	2577	DRUGTECH
Colombia	4	236	ECAR	236	ECAR
Ecuador	6	1077	ECUAQUÍMICA	1077	ECUAQUÍMICA
México	11	53	FARMACÉUTICOS EDERKA, S.A. DE C.V.	53	EDERKA
Centroamerica	3	1288	EISAI C0., LTDA.	1288	EISAI
México	11	2773	EISAI LABORATORIOS	2773	EISAI
Colombia	4	237	ELI LILLY	237	ELI LILLY
Chile	38	2578	ELI LILLY INTERAMERICA INC. y CIA LTDA.	2578	ELI LILLY
México	11	50	ELI LILLY Y COMPAÑÍA DE MÉXICO, S.A. DE C.V.	50	ELI LILLY
Colombia	4	234	DERMACARE, S.A.	234	ELIMERA-DERMACARE
Centroamerica	3	1289	ELIPESA, C. POR A.	1289	ELIPESA
México	11	2519	ELITE MEDICAL	2519	ELITE MEDICAL
Colombia	4	238	ESSEX FARMACEUTICA	238	ESSEX
México	11	1365	ESTERIPHARMA MÉXICO, S.A. DE C.V.	1365	ESTERIPHARMA
Chile	38	2580	ETEX FARMACEUTICA LTDA.	2580	ETEX
Centroamerica	3	2777	ETHICAL	2777	ETHICAL
Colombia	4	239	ETYC	239	ETYC
Colombia	4	240	EURODRUG LABORATORIES	240	EURODRUG
Colombia	4	241	EUROETIKA, LTDA.	241	EUROETIKA
Ecuador	6	2809	EUROFARMA	2809	EUROFARMA
Colombia	4	2780	EUROFARMA COLOMBIA	2780	EUROFARMA
Perú	14	561	EUROFARMA PERÚ S.A.C.	561	EUROFARMA
México	11	52	EURODRUG LABORATORIES	52	EUROLAB
Chile	38	2581	EUROLAB LTDA.	2581	EUROLAB
Ecuador	6	1164	EUROSTAGA S.A.	1164	EUROSTAGA 
México	11	132	PHARMACOS EXAKTA, S.A. DE C.V.	132	EXAKTA
México	11	2713	LABORATORIOS EXPANSCIENCE MÉXICO, S.A. DE C.V.	2713	EXPANSCIENCE
Chile	38	2582	EXPOFARMA LTDA.	2582	EXPOFARMA
Centroamerica	3	1291	FAES FARMA S.A.	1291	FAES FARMA 
Ecuador	6	2513	F.J.P. FAJAPRO COMERCIO Y REPRESENTACIONES CÍA. LTDA	2513	FAJAPRO
Colombia	4	258	FARMA DE COLOMBIA S. A.	258	FARMA DE COLOMBIA
México	11	2755	FARMACÉUTICA HISPANOAMERICANA	2755	FARMACÉUTICA HISPANOAMERICANA
Chile	38	2583	FARMACEUTICO MASTER S. A.	2583	FARMACEUTICO MASTER
México	11	2504	FARMACIA GUADALAJARA	2504	FARMACIA GUADALAJARA
